SUBJ_NUM,GROUP,TRIAL_RT
25,ASD,0.236879402137022
25,ASD,0.175927648724704
25,ASD,0.243586946897829
25,ASD,0.27097627513605
25,ASD,0.225692568673017
26,ASD,0.191902879725344
26,ASD,NaN
26,ASD,0.184707977365635
26,ASD,0.205840677247292
26,ASD,NaN
26,ASD,0.357303829999098
26,ASD,0.214943697996315
26,ASD,0.258756636950963
26,ASD,0.2336607738915
26,ASD,NaN
26,ASD,0.23670356187446
26,ASD,0.236687201074552
26,ASD,0.269446976091097
26,ASD,0.185622257360515
26,ASD,0.201847038069656
26,ASD,0.210842270019283
26,ASD,0.234296599487939
26,ASD,0.207250272439399
26,ASD,0.196490961299651
26,ASD,0.207383725238651
27,ASD,0.15162070379241
27,ASD,NaN
27,ASD,NaN
27,ASD,0.239567487246674
27,ASD,NaN
27,ASD,0.212403912966208
27,ASD,NaN
27,ASD,0.293750597486355
27,ASD,0.225173920658945
27,ASD,0.28324349918806
27,ASD,0.257341623610223
27,ASD,0.249607503594542
27,ASD,0.196503878769136
27,ASD,0.21243759676071
27,ASD,NaN
27,ASD,0.235431438079883
27,ASD,NaN
27,ASD,NaN
27,ASD,0.213499438282627
27,ASD,0.245213853599322
28,ASD,0.21400629919037
28,ASD,0.184448288317883
28,ASD,0.194613415902472
28,ASD,0.172224599692162
28,ASD,0.183632178096808
28,ASD,0.229373167040182
28,ASD,0.250332827969483
28,ASD,0.210652355652109
28,ASD,NaN
28,ASD,0.219731902659608
28,ASD,0.246709414075207
28,ASD,NaN
28,ASD,0.183032285756631
28,ASD,0.157046040293517
28,ASD,0.171683413393832
28,ASD,0.201677068008543
28,ASD,0.163340739490816
28,ASD,0.213868997628019
28,ASD,0.194231987029494
28,ASD,NaN
29,ASD,0.232443017098319
29,ASD,0.227188313127745
29,ASD,0.213595375603866
29,ASD,0.219611658770175
29,ASD,0.212145038811988
29,ASD,NaN
29,ASD,0.245118787427335
29,ASD,NaN
29,ASD,0.216247749989013
29,ASD,0.257431732958382
29,ASD,0.239760144257343
29,ASD,0.22924816991621
29,ASD,0.211126498817692
29,ASD,0.244166973832665
29,ASD,NaN
29,ASD,0.22688387392945
29,ASD,0.214599800398241
29,ASD,NaN
29,ASD,0.36418210276058
29,ASD,0.228315283521434
30,ASD,0.254074789812448
30,ASD,0.168876972272695
30,ASD,0.208339428515701
30,ASD,0.222686846211491
30,ASD,0.213394259493086
30,ASD,0.246064757783869
30,ASD,NaN
30,ASD,0.210176965600074
30,ASD,0.257579198874893
30,ASD,0.239710690564914
30,ASD,0.230116552718836
30,ASD,0.215160899982549
30,ASD,0.278644149138205
30,ASD,0.252063058831983
30,ASD,0.244410396969604
30,ASD,0.225941031997783
30,ASD,0.191680974305278
30,ASD,NaN
30,ASD,NaN
31,ASD,0.215779620150672
31,ASD,0.152363504078613
31,ASD,0.177601888339542
31,ASD,0.230147797600182
31,ASD,0.185377687156186
31,ASD,NaN
31,ASD,NaN
31,ASD,0.186414823901687
31,ASD,0.196392573420813
31,ASD,NaN
31,ASD,NaN
31,ASD,0.230062786391534
31,ASD,0.220086640857478
31,ASD,0.199228739819507
31,ASD,NaN
31,ASD,0.156415170362462
31,ASD,NaN
31,ASD,NaN
31,ASD,0.248247806710817
31,ASD,NaN
32,ASD,0.250272356664686
32,ASD,0.228831567452705
32,ASD,0.251755080462307
32,ASD,0.208155237524525
32,ASD,0.209341865678441
32,ASD,0.187444903112886
32,ASD,0.239535601410994
32,ASD,0.237513938630248
32,ASD,0.248319023647873
32,ASD,0.228707739805392
32,ASD,0.214266420636744
32,ASD,0.246196630604805
32,ASD,0.247957164616346
32,ASD,0.34638923713187
32,ASD,0.235790937869318
32,ASD,0.287287520097933
32,ASD,0.22539968099945
32,ASD,0.224601538029203
32,ASD,0.229236092487062
32,ASD,0.262235198104988
33,ASD,0.273508882577009
33,ASD,0.289780721705773
33,ASD,0.245817595516013
33,ASD,0.233764571449103
33,ASD,0.223659433098531
33,ASD,0.242721573604224
33,ASD,NaN
33,ASD,0.279294475280265
33,ASD,NaN
33,ASD,0.240778499858528
33,ASD,NaN
33,ASD,0.310830847683164
33,ASD,NaN
33,ASD,NaN
33,ASD,0.372112256217547
33,ASD,0.256437935523443
33,ASD,0.234530637175489
33,ASD,0.271578319954986
33,ASD,0.261056464946719
33,ASD,NaN
34,ASD,0.23264298021588
34,ASD,0.160616412758
34,ASD,0.192296797411264
34,ASD,NaN
34,ASD,0.216200965161971
34,ASD,0.178991254001592
34,ASD,NaN
34,ASD,NaN
34,ASD,NaN
34,ASD,NaN
34,ASD,0.220750244530583
34,ASD,NaN
34,ASD,0.267559284831854
34,ASD,0.216242348494497
34,ASD,0.177749433224785
34,ASD,0.184034887753324
34,ASD,NaN
34,ASD,0.227025754227275
34,ASD,NaN
34,ASD,0.272721935764727
35,ASD,NaN
35,ASD,0.279013709669141
35,ASD,0.274407034995329
35,ASD,0.277897970496751
35,ASD,0.166972067383204
35,ASD,NaN
35,ASD,NaN
35,ASD,0.263504357734594
35,ASD,0.388763563384764
35,ASD,NaN
35,ASD,0.235160797326845
35,ASD,0.239227567162494
35,ASD,0.261491664356913
35,ASD,0.251260419553858
35,ASD,0.226421909806699
35,ASD,0.238366221654194
35,ASD,0.250563643969491
35,ASD,NaN
35,ASD,0.24617126307577
35,ASD,0.223219693470071
36,ASD,0.237054236509523
36,ASD,0.228232639428006
36,ASD,0.167356273313923
36,ASD,0.218851893151497
36,ASD,NaN
36,ASD,NaN
36,ASD,NaN
36,ASD,NaN
36,ASD,0.290783565953941
36,ASD,0.204519003373501
36,ASD,0.197735108923418
36,ASD,0.226507713884993
36,ASD,0.193414614742034
36,ASD,NaN
36,ASD,NaN
36,ASD,NaN
36,ASD,0.281134633373925
36,ASD,0.28488603365289
36,ASD,NaN
36,ASD,0.20241585815126
