Subject,Group,Phase,Entropy
13,NT,Preparation,1.91017362916624
13,NT,Preparation,2.3670360850106
13,NT,Preparation,1.80660063293687
13,NT,Preparation,2.34417701948399
13,NT,Preparation,1.77512500900097
13,NT,Preparation,2.49789567020124
13,NT,Preparation,2.23624769653587
13,NT,Preparation,2.02795201076277
13,NT,Preparation,2.26306400792661
13,NT,Preparation,1.96698330752002
13,NT,Preparation,2.05539732804372
13,NT,Preparation,1.77364461610302
13,NT,Preparation,2.4840893656887
13,NT,Lift 1,2.04054896799386
13,NT,Lift 1,1.52470739303014
13,NT,Lift 1,1.75361176702219
13,NT,Lift 1,2.06697780377288
13,NT,Lift 1,2.05015918520377
13,NT,Lift 1,1.94639562794005
13,NT,Lift 1,1.6406259308457
13,NT,Lift 1,1.56292158301136
13,NT,Lift 1,1.36133026960299
13,NT,Lift 1,1.72674557055857
13,NT,Lift 1,1.47949418500031
13,NT,Lift 1,1.94388346638614
13,NT,Lift 1,0.838727852900336
13,NT,Lift 1,1.00118647861454
13,NT,Lift 1,1.07010364626977
13,NT,Lift 2,1.73435264183571
13,NT,Lift 2,1.86236835792521
13,NT,Lift 2,2.27238890612548
13,NT,Lift 2,1.6725017830858
13,NT,Lift 2,2.05794445633851
13,NT,Lift 2,2.2145640828733
13,NT,Lift 2,2.38944872410933
13,NT,Lift 2,1.57621547412126
13,NT,Lift 2,1.67556603652136
13,NT,Lift 2,1.84455934920828
13,NT,Lift 2,1.80759046723571
13,NT,Lift 2,2.25031153404938
13,NT,Lift 2,1.52317606416801
13,NT,Lift 2,1.79808478062115
13,NT,Lift 2,1.3645966813567
14,NT,Preparation,1.60389663472574
14,NT,Preparation,1.78755516899668
14,NT,Preparation,2.13292952365439
14,NT,Preparation,2.00525067702664
14,NT,Preparation,1.90195615161157
14,NT,Preparation,1.49055270725293
14,NT,Preparation,1.54523113008579
14,NT,Preparation,1.74903665913276
14,NT,Preparation,2.32175316003296
14,NT,Preparation,2.35423235570158
14,NT,Preparation,1.31134606654879
14,NT,Preparation,2.05930602812915
14,NT,Preparation,1.85388943098727
14,NT,Preparation,2.24507152904354
14,NT,Preparation,2.08346042430623
14,NT,Preparation,1.80430086300797
14,NT,Preparation,2.14214957641258
14,NT,Preparation,2.08804667606057
14,NT,Preparation,1.5993103829714
14,NT,Preparation,1.80753201142448
14,NT,Lift 1,1.68146680071028
14,NT,Lift 1,2.2624101037241
14,NT,Lift 1,1.77363918908595
14,NT,Lift 1,2.01879740666068
14,NT,Lift 1,1.55383575586085
14,NT,Lift 1,2.34166294384059
14,NT,Lift 1,1.16994222522393
14,NT,Lift 1,2.39014824965467
14,NT,Lift 1,2.49843396060015
14,NT,Lift 1,2.18733076616791
14,NT,Lift 1,2.42336948716559
14,NT,Lift 1,2.24269104276157
14,NT,Lift 1,1.83370780486683
14,NT,Lift 1,2.43385195518237
14,NT,Lift 1,2.02549940517328
14,NT,Lift 1,1.98539397568278
14,NT,Lift 1,1.92186293353457
14,NT,Lift 1,1.84735366011415
14,NT,Lift 1,2.43826469899485
14,NT,Lift 1,1.87703934100739
14,NT,Lift 2,1.93136878265212
14,NT,Lift 2,2.20470255066951
14,NT,Lift 2,2.09630333663026
14,NT,Lift 2,2.15163386579178
14,NT,Lift 2,2.35827227187623
14,NT,Lift 2,2.32641863173787
14,NT,Lift 2,2.38999279283115
14,NT,Lift 2,2.27352918194201
14,NT,Lift 2,1.73534109046942
14,NT,Lift 2,2.16853792613736
14,NT,Lift 2,1.99641906985318
14,NT,Lift 2,1.1353054542667
14,NT,Lift 2,1.95145343326829
14,NT,Lift 2,1.75455972316997
14,NT,Lift 2,2.23945046964383
14,NT,Lift 2,2.03545456730164
14,NT,Lift 2,2.19400409441137
14,NT,Lift 2,1.65336879037689
14,NT,Lift 2,2.08959112166453
14,NT,Lift 2,2.08840178334971
17,NT,Preparation,1.87797190778272
17,NT,Preparation,2.28363472755287
17,NT,Preparation,2.20252171599548
17,NT,Preparation,2.04276375108294
17,NT,Preparation,2.23544853829743
17,NT,Preparation,2.33696497773694
17,NT,Preparation,2.18026800889268
17,NT,Preparation,1.98194398486671
17,NT,Preparation,1.70761488499104
17,NT,Preparation,2.32606193750221
17,NT,Preparation,2.3231586732244
17,NT,Lift 1,2.29551358588149
17,NT,Lift 1,1.96902283093235
17,NT,Lift 1,2.31430731467198
17,NT,Lift 1,1.7190609739329
17,NT,Lift 1,2.0375364376824
17,NT,Lift 1,1.88060207521497
17,NT,Lift 1,2.2325992405431
17,NT,Lift 1,2.0329523562753
17,NT,Lift 1,2.11961632544176
17,NT,Lift 1,1.89894417684798
17,NT,Lift 1,2.33592260956128
17,NT,Lift 2,2.2549458197045
17,NT,Lift 2,2.26243056185762
17,NT,Lift 2,1.61985287193216
17,NT,Lift 2,1.4955856626839
17,NT,Lift 2,1.76054876653607
17,NT,Lift 2,1.95438508631805
17,NT,Lift 2,1.9586318156217
17,NT,Lift 2,1.89397655838611
17,NT,Lift 2,2.15526312282976
17,NT,Lift 2,1.57369375605369
17,NT,Lift 2,1.61414224307268
18,NT,Preparation,2.51947182563513
18,NT,Preparation,2.54954293290878
18,NT,Preparation,NaN
18,NT,Preparation,2.47777257720831
18,NT,Preparation,2.26093339381674
18,NT,Preparation,2.03990803605464
18,NT,Preparation,1.98540505831881
18,NT,Lift 1,1.99199870007521
18,NT,Lift 1,1.77061439397799
18,NT,Lift 1,NaN
18,NT,Lift 1,2.29988549769939
18,NT,Lift 1,2.18062078206365
18,NT,Lift 1,1.99787719477089
18,NT,Lift 1,2.41279452747873
18,NT,Lift 2,2.07022146720539
18,NT,Lift 2,1.18651398975684
18,NT,Lift 2,NaN
18,NT,Lift 2,1.9199359587554
18,NT,Lift 2,1.83081142934235
18,NT,Lift 2,2.40536570693898
18,NT,Lift 2,2.221428148405
19,NT,Preparation,1.11352914763719
19,NT,Preparation,1.62366451312297
19,NT,Preparation,2.09396338715714
19,NT,Preparation,2.14327475471483
19,NT,Preparation,1.62151654082469
19,NT,Preparation,2.49085378080242
19,NT,Preparation,1.62366451312297
19,NT,Preparation,2.42354707375758
19,NT,Preparation,2.0012405891642
19,NT,Preparation,2.27441467479467
19,NT,Preparation,1.8142964265382
19,NT,Lift 1,2.16796410841355
19,NT,Lift 1,2.05333614043874
19,NT,Lift 1,2.24544560990445
19,NT,Lift 1,1.73046541768365
19,NT,Lift 1,1.76281250228799
19,NT,Lift 1,1.45202927527021
19,NT,Lift 1,1.55297480994079
19,NT,Lift 1,2.36650087316604
19,NT,Lift 1,1.7427642748471
19,NT,Lift 1,2.56418505921228
19,NT,Lift 1,1.76926140881921
19,NT,Lift 2,2.41487406100142
19,NT,Lift 2,2.35192162399951
19,NT,Lift 2,1.72569725834538
19,NT,Lift 2,2.10102452804936
19,NT,Lift 2,1.94215028946727
19,NT,Lift 2,2.42767191557221
19,NT,Lift 2,2.24105208364208
19,NT,Lift 2,1.56522688702605
19,NT,Lift 2,1.65340853246397
19,NT,Lift 2,1.18059844262682
19,NT,Lift 2,1.72591909384253
20,NT,Preparation,2.18743250139022
20,NT,Preparation,1.51119748419921
20,NT,Preparation,2.00738129113651
20,NT,Preparation,1.95440257255755
20,NT,Preparation,2.49744804356792
20,NT,Preparation,2.08692149775832
20,NT,Preparation,2.06419096949029
20,NT,Preparation,2.32287833833521
20,NT,Preparation,1.83369441861271
20,NT,Preparation,2.50348735776321
20,NT,Preparation,2.49113125508752
20,NT,Preparation,1.51231974840486
20,NT,Preparation,2.11553954259103
20,NT,Preparation,1.62872858257174
20,NT,Preparation,2.26809788631428
20,NT,Lift 1,2.19665255414842
20,NT,Lift 1,2.20104941047626
20,NT,Lift 1,2.25251274778938
20,NT,Lift 1,2.40700294459046
20,NT,Lift 1,1.89376057795941
20,NT,Lift 1,1.84425880157489
20,NT,Lift 1,1.71253826744947
20,NT,Lift 1,2.15222069946525
20,NT,Lift 1,1.7443973604937
20,NT,Lift 1,1.95703458016415
20,NT,Lift 1,1.83882601079246
20,NT,Lift 1,2.35637964277805
20,NT,Lift 1,1.79553840972589
20,NT,Lift 1,1.49243020081208
20,NT,Lift 1,1.99420392917087
20,NT,Lift 2,2.29487115628246
20,NT,Lift 2,2.25112996318049
20,NT,Lift 2,2.3725191788006
20,NT,Lift 2,2.48654262989458
20,NT,Lift 2,2.18149874170179
20,NT,Lift 2,2.22794299805046
20,NT,Lift 2,1.61365070878622
20,NT,Lift 2,2.14849959750791
20,NT,Lift 2,1.85672093753158
20,NT,Lift 2,1.97995028488635
20,NT,Lift 2,2.01406540088164
20,NT,Lift 2,1.73058908315481
20,NT,Lift 2,2.03044015922774
20,NT,Lift 2,2.36670500088994
20,NT,Lift 2,2.03112576358699
21,NT,Preparation,1.94197527316594
21,NT,Preparation,1.56963935308156
21,NT,Preparation,1.66283692718939
21,NT,Preparation,1.28934213572652
21,NT,Preparation,1.60333882555145
21,NT,Preparation,2.25847775617226
21,NT,Preparation,2.00951190524638
21,NT,Preparation,2.25171334105854
21,NT,Preparation,1.770419014752
21,NT,Preparation,2.47978058821946
21,NT,Preparation,2.22494557544651
21,NT,Preparation,2.20397477843643
21,NT,Preparation,1.77372235641363
21,NT,Lift 1,1.90094762223999
21,NT,Lift 1,1.47221926905758
21,NT,Lift 1,1.71624500233449
21,NT,Lift 1,1.89070629078109
21,NT,Lift 1,1.5809126047875
21,NT,Lift 1,1.18780113923601
21,NT,Lift 1,1.40786264947665
21,NT,Lift 1,2.18496309298868
21,NT,Lift 1,1.63838185956607
21,NT,Lift 1,1.92409976179243
21,NT,Lift 1,1.27461735355132
21,NT,Lift 1,1.80380382206915
21,NT,Lift 1,1.10342959051269
21,NT,Lift 2,1.86022832668546
21,NT,Lift 2,1.99042969057196
21,NT,Lift 2,1.52635622262499
21,NT,Lift 2,2.44841852622981
21,NT,Lift 2,2.37271028077271
21,NT,Lift 2,2.25272703625586
21,NT,Lift 2,2.17606670213025
21,NT,Lift 2,2.51198691250339
21,NT,Lift 2,2.0435180476349
21,NT,Lift 2,2.08366583665058
21,NT,Lift 2,2.14664404797977
21,NT,Lift 2,1.50480298907664
21,NT,Lift 2,2.25345081500006
22,NT,Preparation,2.31253310727476
22,NT,Preparation,2.36490547090073
22,NT,Preparation,1.54523113008579
22,NT,Preparation,2.17334586198848
22,NT,Preparation,1.92325483276035
22,NT,Preparation,2.17911363605853
22,NT,Preparation,2.24780464097311
22,NT,Preparation,2.16199519512042
22,NT,Preparation,1.38131682674568
22,NT,Preparation,2.51270741052141
22,NT,Preparation,1.68959589803747
22,NT,Preparation,2.12874334928386
22,NT,Lift 1,1.70564993152281
22,NT,Lift 1,1.7182480098715
22,NT,Lift 1,2.32821688968542
22,NT,Lift 1,1.56288199723448
22,NT,Lift 1,1.3807285451287
22,NT,Lift 1,2.00008522149066
22,NT,Lift 1,2.16384603721805
22,NT,Lift 1,1.46700227016422
22,NT,Lift 1,1.87582520498905
22,NT,Lift 1,1.99370136493897
22,NT,Lift 1,1.86197182347299
22,NT,Lift 1,1.81907647810719
22,NT,Lift 2,2.02289049169058
22,NT,Lift 2,2.30333890259567
22,NT,Lift 2,2.35462102855556
22,NT,Lift 2,2.37783966424796
22,NT,Lift 2,2.05951321192866
22,NT,Lift 2,2.18466509521807
22,NT,Lift 2,2.29740574266937
22,NT,Lift 2,1.75887644877207
22,NT,Lift 2,2.14707918810134
22,NT,Lift 2,2.22377358149852
22,NT,Lift 2,2.11986453076147
22,NT,Lift 2,2.1105150406417
